LIBMORPHOCIMO3|CIMO3|CODMORPHOCIMO3|Comm|LESION|LIBLESION|MODIFADICAP
Adénome, SAI|M-8140/0|81400||A0A0|ADENOME - POLYADENOME (SAI)|
Adénome à cellules acineuses|M-8550/0|85500||A0A4|ADENOME ACINEUX - ADENOME MICROACINEUX|
Adénome à cellules acineuses|M-8550/0|85500|G|A0A5|ADENOME MACROACINEUX|
Adénome alvéolaire (C34.-)|M-8251/0|82510||A0A7|ADENOME ALVEOLAIRE|
Adénome canaliculaire|M-8149/0|81490||A0B2|ADENOME CANALAIRE - ADENOME CANALICULAIRE - PAPILLOME INTRACANALAIRE|
Papillome transitionnel inversé, SAI|M-8121/1|81211||A0C2|ADENOME INVERSE - PAPILLOME CANALAIRE INVERSE|
Cystadénome, SAI|M-8440/0|84400||A0C4|ADENOME KYSTIQUE - CYSTADENOME (SAI)|
Adénome microkystique (C25.-)|M-8202/0|82020||A0C5|ADENOME MICROKYSTIQUE A CELLULES CLAIRES - CYSTADENOME MICROKYSTIQUE A CELULES CLAIRES|ajouter : (PANCREAS)
Adénome papillaire intrakystique|M-8504/0|85040||A0C6|ADENOME KYSTIQUE ET PAPILLAIRE - CYSTADENOME PAPILLAIRE|
|M-72031|72031||A0C8|ADENOME NODULAIRE - HYPERPLASIE NODULAIRE FOCALE DU FOIE|supprimer : ADENOME NODULAIRE
Adénome papillaire, SAI|M-8260/0|82600||A0D0|ADENOME PAPILLAIRE (SAI)|
Adénome vésiculaire (C73.9)|M-8330/0|83300|G|A0D2|ADENOME PAPILLOVESICULAIRE|ajouter : (OBS)
Adénome papillaire, SAI|M-8260/0|82600|G|A0D4|ADENOME PAPILLOTRABECULAIRE|ajouter : (OBS)
Adénome papillaire, SAI|M-8260/0|82600|G|A0D6|ADENOME PAPILLOTRABECULOVESICULAIRE|ajouter : (OBS)
Adénome trabéculaire|M-8190/0|81900||A0E0|ADENOME TRABECULAIRE (SAI)|
Adénome trabéculaire hyalinisant (C73.9)|M-8336/0|83360||A0E1|ADENOME TRABECULAIRE A STROMA HYALINISE|modifier : HYALINISANT
Adénome , SAI|M-8140/0|81400|G|A0E2|ADENOME TRABECULOVESICULAIRE|
Adénome tubuleux, SAI|M-8211/0|82110||A0F0|ADENOME TUBULEUX (SAI)|
Adénome tubulovilleux, SAI|M-8263/0|82630|G|A0F2|ADENOME TUBULOPAPILLAIRE|
Adénome tubulovilleux, SAI|M-8263/0|82630||A0F4|ADENOME TUBULOVILLEUX|
Adénome villeux|M-8261/0|82610||A0F6|ADENOME VILLEUX|
Adénome vésiculaire (C73.9)|M-8330/0|83300||A0G0|ADENOME VESICULAIRE (SAI)|
Adénome microvésiculaire, SAI (C73.9)|M-8333/0|83330||A0G2|ADENOME MICROVESICULAIRE|
Adénome macrovésiculaire (C73.9)|M-8334/0|83340||A0G4|ADENOME MACROVESICULAIRE - ADENOME COLLOIDE|
Adénome vésiculaire atypique (C73.9)|M-8330/1|83301||A0H2|ADENOME A CELLULES ATYPIQUES (THYROIDE)|
Adénome basocellulaire|M-8147/0|81470||A0H4|ADENOME A CELLULES BASALES|
Adénome hépatocellulaire (C22.0)|M-8170/0|81700||A0H5|ADENOME HEPATOCYTAIRE|
Adénome basophile (C75.1)|M-8300/0|83000||A0H6|ADENOME A CELLULES BASOPHILES|
Cholangiome bénin (C22.1, C24.0)|M-8160/0|81600||A0H7|ADENOME A CELLULES BILIAIRES - ADENOME BILIAIRE|
Adénome chromophobe (C75.1)|M-8270/0|82700||A0H8|ADENOME A CELLULES CHROMOPHOBES|
Adénome à cellules claires|M-8310/0|83100||A0K2|ADENOME A CELLULES CLAIRES|
Adénome à cellules de Clara|M-8252/0|82520|Créé|A0K3|ADENOME A CELLULES DE CLARA|
Adénome à cellules eau de roche (C75.0)|M-8322/0|83220||A0K4|ADENOME A CELLULES EAU DE ROCHE|
Adénome acidophile (C75.1)|M-8280/0|82800||A0K6|ADENOME A CELLULES EOSINOPHILES|
Adénome, SAI|M-8140/0|81400|G|A0K7|ADENOME BRUNNERIEN|
Myoépithéliome|M-8982/0|89820||A0K8|ADENOME A CELLULES MYOEPITHELIALES - MYOEPITHELIOME|
Adénome, SAI|M-8140/0|81400|G|A0K9|ADENOME A CELLULES NULLES - ADENOME ENDOCRINE NON SECRETANT|
Adénome oxyphile|M-8290/0|82900||A0L2|ADENOME A CELLULES ONCOCYTAIRES - ONCOCYTOME|
Adénome à cellules mixtes|M-8323/0|83230||A0L4|ADENOME A CELLULES POLYMORPHES OU PLEOMORPHES|
Adénome à cellules principales (C75.0)|M-8321/0|83210||A0L6|ADENOME A CELLULES PRINCIPALES|
Adénome sébacé (C44.-)|M-8410/0|84100||A0L8|ADENOME AVEC CELLULES SEBACEES (GLANDES SALIVAIRES)|
Adénome métanéphrique (C64.9)|M-8325/0|83250||A0L9|ADENOME METANEPHRIQUE|
Adénome, SAI|M-8140/0|81400|G|A0M0|ADENOME AVEC ACTIVITE FONCTIONNELLE - ADENOME SECRETANT (SAI)|
Adénome, SAI|M-8140/0|81400|G|A0M1|ADENOME FONCTIONNEL TRAITE MEDICALEMENT|
Adénome de lactation (C50.-)|M-8204/0|82040||A0M2|ADENOME LACTANT|
Adénome mucineux|M-8480/0|84800||A0M4|ADENOME MUCOSECRETANT OU MUCINEUX OU MUQUEUX|
Cystadénome mucineux, SAI (C56.9)|M-8470/0|84700||A0M5|CYSTADENOME MUCINEUX (SAUF OVARIEN)|
Adénome corticosurrénalien pigmenté (C74.0)|M-8372/0|83720||A0M6|ADENOME PIGMENTE|
Adénome, SAI|M-8140/0|81400|G|A0M7|ADENOME A ACTH|
Prolactinome (C75.1)|M-8271/0|82710||A0M8|ADENOME A PROLACTINE|
Adénome pituitaire, SAI (C75.1)|M-8272/0|82720|G|A0M9|ADENOME A STH|
Adénome pituitaire, SAI (C75.1)|M-8272/0|82720|G|A0N1|ADENOME A TSH|
Adénome pituitaire, SAI (C75.1)|M-8272/0|82720|G|A0N3|ADENOME A FSH ET LH|
Adénome, SAI|M-8140/0|81400|G|A0N9|ADENOME A SECRETIONS HORMONALES MULTIPLES|
Adénome, SAI|M-8140/0|81400|G|A0P0|TUMEUR ADENOMATEUSE COMPOSITE (SAI)|
Fibroadénome, SAI (C50.-)|M-9010/0|90100||A0P1|FIBRO-ADENOME TUBULEUX SIMPLE|
Fibroadénome péricanaliculaire (C50.-)|M-9012/0|90120||A0P2|FIBRO-ADENOME PERI ET INTRACANALICULAIRE DE RANVIER|
Papillome, SAI (à l’exclusion du papillome de la vessie M-8120/1)|M-8050/0|80500||A0P3|PAPILLOME JUVENILE - PAPILLOMATOSE JUVENILE|
Papillome intracanalaire|M-8503/0|85030||A0P4|FIBRO-ADENOME DENDRITIQUE INTRACANALAIRE - PAPILLOME INTRACANALICULAIRE|
Fibroadénome juvénile (C50.-)|M-9030/0|90300||A0P5|FIBROADENOME JUVENILE|
Tumeur phyllode bénigne (C50.-)|M-9020/0|90200||A0P6|FIBRO-ADENOME GEANT OU TUMEUR PHYLLODE|
Adénofibrome, SAI|M-9013/0|90130|G|A0P8|FIBRO- ADENOME PAPILLAIRE|
Adénolipome|M-8324/0|83240||A0R2|ADENOLIPOME|
Adénolymphome (C07.-, C08.-)|M-8561/0|85610||A0R4|ADENOLYMPHOME - TUMEUR DE WARTHIN|
Adénolymphome (C07.-, C08.-)|M-8561/0|85610|G|A0R5|LYMPHADENOME SEBACE|
Adénomyome|M-8932/0|89320||A0R6|ADENOMYOME|
Adénome polymorphe|M-8940/0|89400||A0R8|ADENOME PLEOMORPHE - TUMEUR MIXTE - SYRINGOME CHONDROIDE BENIN - TUMEUR A STROMA REMANIE|
Polypose multiple|M-8221/0|82210||A0S0|ADENOME (POLYADENOME) MULTIPLE - ADENOMATOSE (SAI)|
syndrome de Gardner|D4-01039|01039||A0S1|POLYPOSE ADENOMATEUSE DIFFUSE FAMILIALE DANS LE SYNDROME DE GARDNER|
Adénome, SAI|M-8140/0|81400|G|A0S2|ADENOMES MULTIPLES NON ENDOCRINES AU COURS D'UNE POLYONCOSE|
Adénomatose polypoïde du côlon (C18.-)|M-8220/0|82200||A0S3|POLYPOSE ADENOMATEUSE FAMILIALE DIFFUSE EN DEHORS DU SYNDROME DE GARDNER|
Papillomatose intracanalaire, SAI|M-8505/0|85050||A0S4|ADENOMATOSE DENDRITIQUE INTRACANALAIRE - PAPILLOMATOSE CANALICULAIRE|
Adénomatose du mamelon (C50.0)|M-8506/0|85060||A0S6|ADENOMATOSE EROSIVE DU MAMELON - PAPILLOMATOSE FLORIDE DU MAMELON - PAPILLOMATOSE SOUS AREOLAIRE|
polype|M-76800|76800||A0T0|POLYPE ET POLYPOSE NON ADENOMATEUX (SAI)|
polype fibroide inflammatoire|M-76830|76830||A0T1|POLYPE FIBROIDE INFLAMMATOIRE|
polype hyperplasique|M-72042|72042||A0T2|POLYPE HYPERPLASIQUE|
polype juvenile|M-75662|75662||A0T3|POLYPE JUVENILE|
polypose intestinale diffuse|D4-01034|01034||A0T4|POLYPOSE JUVENILE|
polype inflammatoire|M-76820|76820||A0T5|POLYPE INFLAMMATOIRE CLOACOGENIQUE|
syndrome de Cronkhite-Canada|D5-45500|45500||A0T7|POLYPE ET POLYPOSE DE CRONKITE-CANADA|
syndrome de Peutz-Jeghers|D4-01035|01035||A0T8|POLYPE ET POLYPOSE DE PEUTZ JEGHERS|
polypose|M-76808|76808||A0T9|POLYPOSE NON ADENOMATEUSE (SAI)|
Adénome, SAI|M-8140/0|81400|G|A0Y0|ADENOME D'UN TYPE PARTICULIER|
Adénome dentelé (C18.-)|M-8213/0|82130||A0Y2|POLYPE MIXTE (HYPERPLASIQUE ET ADENOMATEUX)|
Adénome tubuleux, SAI dysplasie légère|M-8211/0M|82110|G|A1F0|ADENOME TUBULEUX AVEC DYSPLASIE LEGERE|
Adénome tubulovilleux, SAI dysplasie légère|M-8263/0M|82630|G|A1F4|ADENOME TUBULOVILLEUX AVEC DYSPLASIE LEGERE|
Adénome villeux dysplasie légère|M-8261/0M|82610|G|A1F6|ADENOME VILLEUX AVEC DYSPLASIE LEGERE|
Adénome tubuleux, SAI dysplasie modérée|M-8211/0M|82110|G|A2F0|ADENOME TUBULEUX AVEC DYSPLASIE MODEREE|
Adénome tubulovilleux, SAI dysplasie modérée|M-8263/0M|82630|G|A2F4|ADENOME TUBULOVILLEUX AVEC DYSPLASIE MODEREE|
Adénome villeux dysplasie modérée|M-8261/0M|82610|G|A2F6|ADENOME VILLEUX AVEC DYSPLASIE MODEREE|
Adénome tubuleux, SAI dysplasie grave|M-8211/0M|82110|G|A3F0|ADENOME TUBULEUX AVEC DYSPLASIE GRAVE|
Adénome tubulovilleux, SAI dysplasie grave|M-8263/M|82630|G|A3F4|ADENOME TUBULOVILLEUX AVEC DYSPLASIE GRAVE|
Adénome villeux dysplasie grave|M-8261/0M|82610|G|A3F6|ADENOME VILLEUX AVEC DYSPLASIE GRAVE|
Adénome atypique|M-8140/1|81401||A4A0|TUMEUR ADENOMATEUSE A MALIGNITE INCERTAINE (SAI)|
Adénome à cellules acineuses|M-8550/1|85501||A4A4|TUMEUR ACINEUSE|
Cystadénome, à la limite de la malignité|M-8440/1|84441|Créé|A4C4|ADENOME KYSTIQUE - CYSTADENOME A LA LIMITE DE LA MALIGNITE|
