CODTOPOCIMO3|ORGANE|TOPO
C090|AA|LO
C099|AA|NC
C091|AA|PA
C091|AA|PP
C099|AA|RE
C099|AA|
C111|AC|AP
C142|AC|AW
C113|AC|CH
C119|AC|NC
C112|AC|OT
C113|AC|PA
C112|AC|PL
C111|AC|PP
C110|AC|PS
C119|AC|RE
C119|AC|
C300|AF|CL
C300|AF|CN
C300|AF|CO
C300|AF|EO
C300|AF|ER
C300|AF|NC
C300|AF|ON
C300|AF|RE
C300|AF|VE
C300|AF|
C139|AH|NC
C139|AH|PA
C132|AH|PP
C139|AH|RE
C129|AH|SP
C139|AH|
C323|AL|AR
C321|AL|BV
C323|AL|CA
C320|AL|CO
C320|AL|CP
C320|AL|CV
C321|AL|EP
C321|AL|MA
C329|AL|NC
C321|AL|RA
C130|AL|RC
C329|AL|RE
C322|AL|SG
C321|AL|VE
C321|AL|VM
C329|AL|
C109|AO|NC
C102|AO|PL
C103|AO|PP
C109|AO|RE
C109|AO|
C140|AP|
C311|AS|ET
C312|AS|FR
C310|AS|MA
C319|AS|NC
C319|AS|RE
C313|AS|SP
C319|AS|
C390|AZ|
C069|BA|CB
C060|BA|JO
C029|BA|LA
C009|BA|LE
C069|BA|NC
C049|BA|PB
C051|BA|VP
C069|BA|
C030|BD|11
C030|BD|12
C030|BD|13
C030|BD|14
C030|BD|15
C030|BD|16
C030|BD|17
C030|BD|18
C030|BD|21
C030|BD|22
C030|BD|23
C030|BD|24
C030|BD|25
C030|BD|26
C030|BD|27
C030|BD|28
C031|BD|31
C031|BD|32
C031|BD|33
C031|BD|34
C031|BD|35
C031|BD|36
C031|BD|37
C031|BD|38
C031|BD|41
C031|BD|42
C031|BD|43
C031|BD|44
C031|BD|45
C031|BD|46
C031|BD|47
C031|BD|48
C030|BD|51
C030|BD|52
C030|BD|53
C030|BD|54
C030|BD|55
C030|BD|61
C030|BD|62
C030|BD|63
C030|BD|64
C030|BD|65
C031|BD|71
C031|BD|72
C031|BD|73
C031|BD|74
C031|BD|75
C031|BD|81
C031|BD|82
C031|BD|83
C031|BD|84
C031|BD|85
C031|BD|AI
C030|BD|AS
C031|BD|CI
C030|BD|CS
C031|BD|DI
C030|BD|DS
C031|BD|II
C030|BD|IS
C031|BD|MI
C030|BD|MS
C039|BD|NC
C031|BD|PI
C030|BD|PS
C039|BD|RE
C039|BD|
C031|BG|CI
C030|BG|CS
C031|BG|DI
C030|BG|DS
C031|BG|GI
C031|BG|II
C030|BG|IS
C031|BG|MI
C030|BG|MS
C039|BG|NC
C031|BG|PI
C030|BG|PS
C039|BG|RE
C030|BG|SU
C039|BG|
C024|BL|AL
C019|BL|BA
C021|BL|BL
C020|BL|FD
C022|BL|FR
C022|BL|FV
C108|BL|GA
C029|BL|NC
C048|BL|PL
C023|BL|PM
C021|BL|PO
C029|BL|RE
C100|BL|VA
C029|BL|
C080|BM|CW
C080|BM|NC
C080|BM|RE
C080|BM|
C079|BP|CS
C079|BP|LP
C079|BP|LS
C079|BP|PP
C079|BP|RE
C079|BP|
C081|BS|CB
C081|BS|NC
C081|BS|RE
C081|BS|
C006|BV|CO
C004|BV|LI
C003|BV|LS
C009|BV|NC
C009|BV|RE
C009|BV|
C062|BX|CI
C061|BX|GJ
C061|BX|GL
C060|BX|JO
C052|BX|LU
C069|BX|NC
C050|BX|PA
C049|BX|PL
C061|BX|VE
C051|BX|VP
C069|BX|
C069|BZ|BX
C069|BZ|
C493|CC|CI
C493|CC|IA
C493|CC|IP
C493|CC|NC
C493|CC|OS
C493|CC|SC
C493|CC|TR
C493|CC|VC
C493|CC|VL
C493|CC|
C380|CE|AU
C380|CE|CO
C380|CE|IN
C380|CE|NC
C380|CE|OR
C380|CE|PA
C380|CE|PI
C380|CE|PO
C380|CE|SA
C380|CE|SV
C380|CE|VA
C380|CE|VE
C380|CE|VM
C380|CE|VP
C380|CE|VT
C380|CE|
C380|CM|AA
C380|CM|AS
C380|CM|AU
C380|CM|IN
C380|CM|NC
C380|CM|OR
C380|CM|PL
C380|CM|PO
C380|CM|PS
C380|CM|SA
C380|CM|SV
C380|CM|VA
C380|CM|VE
C380|CM|VL
C380|CM|VP
C380|CM|
C380|CN|FH
C380|CN|NS
C380|CN|NT
C380|CN|RP
C380|CN|
C380|CP|CA
C380|CP|NC
C380|CP|PA
C380|CP|RE
C380|CP|VI
C380|CP|
C380|CX|AU
C380|CX|BA
C380|CX|IN
C380|CX|NC
C380|CX|OA
