LESION|LIBLESION
A0A0|ADENOME - POLYADENOME (SAI)
A0A4|ADENOME ACINEUX - ADENOME MICROACINEUX
A0A5|ADENOME MACROACINEUX
A0A7|ADENOME ALVEOLAIRE
A0B2|ADENOME CANALAIRE - ADENOME CANALICULAIRE - PAPILLOME INTRACANALAIRE
A0C2|ADENOME INVERSE - PAPILLOME CANALAIRE INVERSE
A0C4|ADENOME KYSTIQUE - CYSTADENOME (SAI)
A0C5|ADENOME MICROKYSTIQUE A CELLULES CLAIRES - CYSTADENOME MICROKYSTIQUE A CELULES CLAIRES
A0C6|ADENOME KYSTIQUE ET PAPILLAIRE - CYSTADENOME PAPILLAIRE
A0C8|ADENOME NODULAIRE - HYPERPLASIE NODULAIRE FOCALE DU FOIE
A0D0|ADENOME PAPILLAIRE (SAI)
A0D2|ADENOME PAPILLOVESICULAIRE
A0D4|ADENOME PAPILLOTRABECULAIRE
A0D6|ADENOME PAPILLOTRABECULOVESICULAIRE
A0E0|ADENOME TRABECULAIRE (SAI)
A0E1|ADENOME TRABECULAIRE A STROMA HYALINISE
A0E2|ADENOME TRABECULOVESICULAIRE
A0F0|ADENOME TUBULEUX (SAI)
A0F2|ADENOME TUBULOPAPILLAIRE
A0F4|ADENOME TUBULOVILLEUX
A0F6|ADENOME VILLEUX
A0G0|ADENOME VESICULAIRE (SAI)
A0G2|ADENOME MICROVESICULAIRE
A0G4|ADENOME MACROVESICULAIRE - ADENOME COLLOIDE
A0H2|ADENOME A CELLULES ATYPIQUES (THYROIDE)
A0H4|ADENOME A CELLULES BASALES
A0H5|ADENOME HEPATOCYTAIRE
A0H6|ADENOME A CELLULES BASOPHILES
A0H7|ADENOME A CELLULES BILIAIRES - ADENOME BILIAIRE
A0H8|ADENOME A CELLULES CHROMOPHOBES
A0K2|ADENOME A CELLULES CLAIRES
A0K3|ADENOME A CELLULES DE CLARA
A0K4|ADENOME A CELLULES EAU DE ROCHE
A0K6|ADENOME A CELLULES EOSINOPHILES
A0K7|ADENOME BRUNNERIEN
A0K8|ADENOME A CELLULES MYOEPITHELIALES - MYOEPITHELIOME
A0K9|ADENOME A CELLULES NULLES - ADENOME ENDOCRINE NON SECRETANT
A0L2|ADENOME A CELLULES ONCOCYTAIRES - ONCOCYTOME
A0L4|ADENOME A CELLULES POLYMORPHES OU PLEOMORPHES
A0L6|ADENOME A CELLULES PRINCIPALES
A0L8|ADENOME AVEC CELLULES SEBACEES (GLANDES SALIVAIRES)
A0L9|ADENOME METANEPHRIQUE
A0M0|ADENOME AVEC ACTIVITE FONCTIONNELLE - ADENOME SECRETANT (SAI)
A0M1|ADENOME FONCTIONNEL TRAITE MEDICALEMENT
A0M2|ADENOME LACTANT
A0M4|ADENOME MUCOSECRETANT OU MUCINEUX OU MUQUEUX
