ORGANE|LIBORGANE|DATEMODIF
AA|AMYGDALE PALATINE|
AC|CAVUM (RHINOPHARYNX)|
AF|FOSSES NASALES|
AH|HYPOPHARYNX|
AL|LARYNX|
AO|OROPHARYNX|
AP|PHARYNX|
AS|SINUS DE LA FACE|
AZ|APPAREIL AERO-DIGESTIF SUPERIEUR SAI|
BA|AUTRE GLANDE SALIVAIRE ACCESSOIRE- GLANDE SALIVAIRE SAI|
BD|DENT - ARCADE DENTAIRE|
BG|GENCIVE|
BL|LANGUE|
BM|GLANDE SOUS-MAXILLAIRE|
BP|PAROTIDE|
BS|GLANDE SUB-LINGUALE|
BV|VERMILLON - LEVRE SAI|
BX|CAVITE BUCCALE SAI|
BZ|APPAREIL BUCCO-DENTO SALIVAIRE SAI|
CC|CORONAIRES - VAISSEAUX DU COEUR|
CE|ENDOCARDE - VALVULE - PILIER|
CM|MYOCARDE|
CN|NODAL (TISSU) - TISSU DE CONDUCTION|
CP|PERICARDE|
CX|COEUR SAI ET GROS VAISSEAUX|
CZ|APPAREIL CARDIAQUE ET SES VAISSEAUX SAI|
DA|APPENDICE|
DC|COLON|
DD|DUODENUM|
DE|ESTOMAC|
DG|GRELE (INTESTIN)|
DM|MECKEL (DIVERTICULE DE)|
DO|OESOPHAGE|
DP|PERITOINE - CANAL DE NUCK|
DQ|ANUS|
DR|RECTUM|
DV|VALVULE DE BAUHIN ET REGION ILEO-COECALE|
DZ|APPAREIL DIGESTIF SAI|
EG|PARAGANGLION|
EH|HYPOPHYSE|
El|ILOTS DE LANGHERANS (PANCREAS ENDOCRINE)|
EP|PARATHYROIDE|
ES|SURRENALE|
ET|THYROIDE|
EZ|SYSTEME ENDOCRINE SAI|
FE|VOIES BILIAIRES EXTRA-HEPATIQUES|
FF|FOIE|
FI|VOIES BILIAIRES INTRA-HEPATIQUES|
FO|ODDI-AMPOULE DE VATER|
FP|PANCREAS EXOCRINE|
FV|VESICULE BILIAIRE ET CANAL CYSTIQUE|
FZ|FOIE- VOIES BILIAIRES- PANCREAS SAI|
GB|GLANDES DE BARTHOLIN|
GC|COL UTERIN (EXOCOL)|
GE|ENDOCOL|
GG|VAGIN|
GL|LIGAMENTS LARGES ET UTERINS|
