TYPE|CODE|LIB|TXT|Findevalid|extension|cma_niv|cma|cmas|cmas_nt|code_imprecis|interdits_en_DP|interdits_en_DR|requerant_un_DR|ssrFP|ssrMP|ssrAE|ssrDAS|ssrZ_CMC|pmsi|MAJ|auteur_MAJ|remarque1|_009_EXT__LIB__finvalid__doublon
|26500|26500 : Kyste naso-labial ; naso-alvéolaire|Kyste naso-labial ; naso-alvéolaire||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|26520|26520 : Kyste péri-odontal latéral ; kyste salivaire odontogénique, kyste glandulaire odontogénique|Kyste péri-odontal lat. ; kyste salivaire odontogénique, kyste glandulaire odontogénique||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|26530|26530 : Kyste primordial ; kératokyste odontogène|Kyste primordial ; kératokyste odontogène||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|26540|"26540 : ""kyste gingival"" des enfants ; perle d'Epstein, des adultes"|"""kyste gingival"" des enfants ; perle d'Epstein, des adultes"||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|26550|26550 : Kyste d'érruption|Kyste d'érruption||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|26560|26560 : Kyste dentigere ; folliculaire|Kyste dentigere ; folliculaire||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|26600|26600 : Kyste du canal naso-palatin ; kyste du canal incisif|Kyste du canal naso-palatin ; kyste du canal incisif||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|33404|33404 : Kyste osseux essentiel ; traumatique, solitaire, hémorragique|Kyste osseux essentiel ; trauma, solitaire, hémorr.||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|33640|33640 : Kyste anévrismal|Kyste anévrismal||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|43800|43800 : Kyste radiculaire|Kyste radiculaire||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|44130|44130 : Granulome central à cellules géantes ; granulome réparateur à cellules géantes|Granulome central à cell. géantes ; granulome réparateur à cell. géantes||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|70980|70980 : Chérubisme ; maladie kystique multiloculaire familiale des mâchoires|Chérubisme ; mal. kystique multiloculaire fam. des mâchoires||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|74910|74910 : Dysplasie fibreuse des mâchoire|Dysplasie fibreuse des mâchoire||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8000/0|8000/0 : Tumeur bénigne|T.b.||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8000/1|8000/1 : Tumeur non déterminée bénigne ou maligne|T. non déterminée b. ou m.||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8000/3|8000/3 : Tumeur maligne|T.m.||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8000/6|8000/6 : Tumeur métastatique|T. métastatique||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8001/0|8001/0 : Cellules tumorales bénignes|Cell. tum. b.||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8001/1|8001/1 : Cellules tumorales non déterminées bénignes ou malignes|Cell. tum. non déterminées b. ou m.||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8001/3|8001/3 : CelIules tumorales malignes|Cell. tum. m.||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8002/3|8002/3 : Tumeur maligne à petites cellules|T.m. à pt. cell.||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8003/3|8003/3 : Tumeur maligne à cellules géantes|T.m. à cell. géantes||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8004/3|8004/3 : Tumeur maligne à cellules fusiformes|T.m. à cell. fusiformes||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8010/0|8010/0 : Tumeur épithéliale bénigne|T. épithéliale b.||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
|8010/2|8010/2 : Carcinome in situ SAI|Carc. in situ SAI||0||0|0|0|0|0|0|0||||||N|25JUN2009:00:00:00|JF||
