CODTOPOCIMO3|CODMORPHOCIMO3|CUI_UMLS
C809|96873|C0452189
C809|95913|C0452192
C000|80003|C0474962
C001|80003|C0432520
C002|80003|C0546836
C003|80003|C0432579
C004|80003|C0733940
C005|80003|C0474971
C006|80003|C0153346
C008|80003|C0496754
C009|80003|C0153340
C019|80003|C0153350
C020|80003|C0153351
C021|80003|C0496755
C022|80003|C0684333
C023|80003|C0153354
C024|80003|C0153356
C028|80003|C0496756
C029|80003|C0153349
C030|80003|C0153365
C031|80003|C0432581
C039|80003|C0153364
C040|80003|C0153369
C041|80003|C0496758
C048|80003|C0349046
C049|80003|C0153368
C050|80003|C0153375
C051|80003|C0153376
C052|80003|C0153377
C058|80003|C0496760
C059|80003|C0153378
C060|80003|C0153373
C061|80003|C0153374
C062|80003|C0153379
C068|80003|C0496761
C069|80003|C0153381
C079|80003|C0747273
C080|80003|C0153360
C081|80003|C0153361
C088|80003|C0349047
C089|80003|C0496763
C090|80003|C0153384
C091|80003|C0153385
C098|80003|C1264197
C099|80003|C0751560
C100|80003|C0153386
C101|80003|C0496765
C102|80003|C0153389
C103|80003|C0153390
C104|80003|C0496766
C108|80003|C0496767
C109|80003|C0153382
C110|80003|C0153393
C111|80003|C0153394
C112|80003|C0153395
C113|80003|C0153396
C118|80003|C0349038
C119|80003|C0153392
C129|80003|C0153400
C130|80003|C0496769
C131|80003|C0153401
C132|80003|C0496770
C138|80003|C0349039
C139|80003|C0153398
C140|80003|C0153405
C142|80003|C0153406
C148|80003|C0496772
C150|80003|C0496773
C151|80003|C0153411
C152|80003|C0496775
C153|80003|C0153413
C154|80003|C0153414
C155|80003|C0153415
C158|80003|C0496776
C159|80003|C0546837
C160|80003|C0153417
C161|80003|C0153420
C162|80003|C0153421
C163|80003|C0153419
C164|80003|C0153418
C165|80003|C0153422
C166|80003|C0153423
C168|80003|C0349049
C169|80003|C0024623
C169|80003|C0024623
C169|80003|C0024623
C170|80003|C0153426
C171|80003|C0153427
